Artist(s),Query,Rank,Song,Year
"Nelly  ,  P. Diddy  and  Murphy Lee","track:Shake Ya Tailfeather artist:Nelly  ,  P. Diddy  and  Murphy Lee",13,Shake Ya Tailfeather,2003.0
Busta Rhymes  and  Mariah Carey  ,track:I Know What You Want artist:Busta Rhymes  and  Mariah Carey  ,17,I Know What You Want,2003.0
