Artist(s),Query,Rank,Song,Year
Paul McCartney  and  Stevie Wonder,track:Ebony and Ivory artist:Paul McCartney  and  Stevie Wonder,4,Ebony and Ivory,1982.0
Greg Guidry,track:Goin  Down artist:Greg Guidry,97,Goin  Down,1982.0
