Artist(s),Query,Rank,Song,Year
Anna Kendrick,track:Cups (Pitch Perfect s  When I m Gone  ) artist:Anna Kendrick,21,Cups (Pitch Perfect s  When I m Gone  ),2013.0
ASAP Rocky  ,track:Fuckin  Problems artist:ASAP Rocky  ,41,Fuckin  Problems,2013.0
Lana Del Rey  and  Cédric Gervais,track:Summertime Sadness artist:Lana Del Rey  and  Cédric Gervais,45,Summertime Sadness,2013.0
