Artist(s),Query,Rank,Song,Year
Little Stevie Wonder,track:Fingertips artist:Little Stevie Wonder,7,Fingertips,1963.0
The Dartells,track:Hot Pastrami artist:The Dartells,91,Hot Pastrami,1963.0
