Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Primary Artist ID,Genres,Top Genre
4CJpqpbsbMvKdI6VCYNYjB,'7BLOa6FxCbMnowidkQfLIA',Gerald Levert,0s0kLsLIUZpoFoUX7Dyrvg,20.0,track:Thinkin  Bout It artist:Gerald Levert,98.0,1998-06-01,Thinkin  Bout It,1998.0,0.729,0.565,1,-8.007,1,0.0489,0.0458,0.0,0.123,0.397,116.845,391827,4,7BLOa6FxCbMnowidkQfLIA,"funk, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary",soul/r&b
6iIk47TPgtfIxzL2ALdBSN,'53QzNeFpzAaXYnrDBbDrIp',The Isley Brothers,5c33j1xFVOL4G24zxYhssB,63.0,track:This Old Heart of Mine artist:The Isley Brothers,98.0,1966-01-01,This Old Heart of Mine,1966.0,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,172733,4,53QzNeFpzAaXYnrDBbDrIp,"classic soul, disco, funk, motown, quiet storm, soul",disco
7zf9kyxc3ZhJv79HrjTRir,'7pFeBzX627ff0VnN6bxPR4',Desiigner,3NJG6vMH1ZsectZkocMEm0,70.0,track:Tiimmy Turner artist:Desiigner,98.0,2016-07-22,Tiimmy Turner,2016.0,0.603,0.725,6,-3.054,1,0.0393,0.174,0.0,0.0786,0.304,122.803,239853,4,7pFeBzX627ff0VnN6bxPR4,"pop rap, rap, trap, viral trap",hip hop/rap
36tc0l1brbD9CCaUDrvqVi,'7qQJQ3YtcGlqaLg5tcypN2',Chubby Checker,65X6ApzxPvmXdk6XOdwSMy,8.0,track:Twenty Miles artist:Chubby Checker,98.0,1962-01-01,Twenty Miles,1963.0,0.802,0.647,9,-7.374,1,0.0323,0.55,0.0,0.306,0.852,121.331,131053,4,7qQJQ3YtcGlqaLg5tcypN2,"adult standards, brill building pop, bubblegum pop, rock-and-roll, rockabilly",rock
6l1USwfJOcRGgJ8LpiRr8m,'2M4KXzgedR4EKG4qgTeDKa',Love Unlimited,21dFwyX2sDxrM9TjZLBXny,30.0,track:Walkin  in the Rain with the One I Love artist:Love Unlimited,98.0,1988-09-12,Walkin  in the Rain with the One I Love,1972.0,0.406,0.473,10,-14.207,1,0.053,0.0226,0.0262,0.323,0.652,138.901,266560,4,2M4KXzgedR4EKG4qgTeDKa,"classic soul, disco",disco
3IcnPxM10hCMb6W2gCapAY,'1vnIL4DMlivP55ioM6KitW',Rita Coolidge,2QDnRMFfnes9DUWc6HgixI,62.0,track:We re All Alone artist:Rita Coolidge,98.0,1977-03-01,We re All Alone,1978.0,0.332,0.429,7,-8.376,1,0.0287,0.356,3.18e-05,0.0619,0.239,128.073,220520,4,1vnIL4DMlivP55ioM6KitW,"adult standards, bubblegum pop, classic uk pop, folk, mellow gold, native american, soft rock",pop
0XSzjoQ6rMkWeoOQdQAWRs,'1Ha0Fz4i0d4gu5fZbhBCtH',Night Ranger,0FoB9BAV7B2Kv6NxOFZtSO,49.0,track:When You Close Your Eyes artist:Night Ranger,98.0,1983-01-01,When You Close Your Eyes,1984.0,0.473,0.673,0,-14.122,1,0.0363,0.0132,0.0,0.134,0.517,138.184,256507,4,1Ha0Fz4i0d4gu5fZbhBCtH,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",rock
2QBJCHNMYQC1cyhSXW0ygV,'4mxWe1mtYIYfP040G38yvS',Alan Jackson,4aOQG9TYcZOhT3sngkMI9K,47.0,track:Where Were You (When the World Stopped Turning) artist:Alan Jackson,98.0,2002-01-15,Where Were You (When the World Stopped Turning),2002.0,0.647,0.388,0,-9.194,1,0.0311,0.473,0.0,0.0754,0.188,115.432,305093,4,4mxWe1mtYIYfP040G38yvS,"contemporary country, country, country road",country
2Kudx2lMsMx3svYdb2xe2F,'5vngPClqofybhPERIqQMYd',George Strait,1TanmIWbaUj5NVwJ3k4XPd,67.0,track:Write This Down artist:George Strait,98.0,1999-01-01,Write This Down,1999.0,0.729,0.688,3,-7.468,1,0.0264,0.127,9.44e-06,0.295,0.671,123.867,219600,4,5vngPClqofybhPERIqQMYd,"contemporary country, country, country road, country rock",country
3TtCMt4XLddj9PQeVBfsK1,'5q4AzEtCoYJyXjMMoEkSU5',Bachman–Turner Overdrive,0HOrDVS349XFcpCYsO2hAP,70.0,track:You Ain t Seen Nothing Yet artist:Bachman–Turner Overdrive,98.0,1974-01-01,You Ain t Seen Nothing Yet,1975.0,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,234867,4,5q4AzEtCoYJyXjMMoEkSU5,"album rock, art rock, blues rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, mellow gold, rock, soft rock",country
